Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
21HIWELL	0449-01        	UALAPUE WELL /  /                                                                                                                                                             	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.067222	-156.832778	20050000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21HIWELL	0457-01        	KAWELA DUG WELL /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.071944	-156.963889	20050000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21HIWELL	0700-01        	KALUALOHE WELL 17 /  /                                                                                                                                                        	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.119722	-157.001389	20050000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21HIWELL	0801-01        	KAULUWAI WELL 1(HAWAIIAN HOMES COMMISSIO /  /                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.148889	-157.02    	20050000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21HIWELL	0801-02        	KAULUWAI WELL 2 /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.149167	-157.018611	20050000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21HIWELL	0855-01        	WAIKOLU TUNNEL /  /                                                                                                                                                           	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.140833	-156.925833	20050000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21HIWELL	0901-01        	KALUAKOI WELL /  /                                                                                                                                                            	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.150833	-157.025   	20050000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21HIWELL	0902-01        	DEL MONTE CORP. - KUALAPUU /  /                                                                                                                                               	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.158056	-157.038333	20050000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21HIWELL	4852-02        	WAIAKEKUA BEACH - WELL NO. 5 /  /                                                                                                                                             	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 20.806389	-156.870833	20040000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21HIWELL	4853-01        	PALAWAI - WELL NO.1 /  /                                                                                                                                                      	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 20.809444	-156.8875  	20040000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21HIWELL	4952-01        	WAIAPAA GULCH - WELL NO. 4 /  /                                                                                                                                               	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	   20.8175	-156.8825  	20040000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21HIWELL	4954-01        	KAPANO GULCH - WELL NO. 3 /  /                                                                                                                                                	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 20.826944	-156.910278	20040000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
