Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21HIWELL	0449-01        	UALAPUE WELL /  /                                                                                                                                                             	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.067222	-156.832778                              	 200000E-6  	U	20050000	32106	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0449-01        	UALAPUE WELL /  /                                                                                                                                                             	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.067222	-156.832778                              	 200000E-6  	U	20050000	32106	1987-03-15	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0457-01        	KAWELA DUG WELL /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.071944	-156.963889                              	 200000E-6  	U	20050000	32106	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0457-01        	KAWELA DUG WELL /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.071944	-156.963889                              	 500000E-6  	 	20050000	32106	1987-03-15	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0801-02        	KAULUWAI WELL 2 /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.149167	-157.018611                              	 200000E-6  	U	20050000	32106	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0449-01        	UALAPUE WELL /  /                                                                                                                                                             	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.067222	-156.832778                              	 200000E-6  	U	20050000	34010	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0449-01        	UALAPUE WELL /  /                                                                                                                                                             	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.067222	-156.832778                              	 200000E-6  	U	20050000	34010	1987-03-15	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0457-01        	KAWELA DUG WELL /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.071944	-156.963889                              	 200000E-6  	U	20050000	34010	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0457-01        	KAWELA DUG WELL /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.071944	-156.963889                              	 200000E-6  	U	20050000	34010	1987-03-15	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0801-02        	KAULUWAI WELL 2 /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.149167	-157.018611                              	 200000E-6  	U	20050000	34010	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0449-01        	UALAPUE WELL /  /                                                                                                                                                             	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.067222	-156.832778                              	 200000E-6  	U	20050000	34030	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0449-01        	UALAPUE WELL /  /                                                                                                                                                             	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.067222	-156.832778                              	 200000E-6  	U	20050000	34030	1987-03-15	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0457-01        	KAWELA DUG WELL /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.071944	-156.963889                              	 200000E-6  	U	20050000	34030	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0457-01        	KAWELA DUG WELL /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.071944	-156.963889                              	 200000E-6  	U	20050000	34030	1987-03-15	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0801-02        	KAULUWAI WELL 2 /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.149167	-157.018611                              	 200000E-6  	U	20050000	34030	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0449-01        	UALAPUE WELL /  /                                                                                                                                                             	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.067222	-156.832778                              	 200000E-6  	U	20050000	34288	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0449-01        	UALAPUE WELL /  /                                                                                                                                                             	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.067222	-156.832778                              	 200000E-6  	U	20050000	34288	1987-03-15	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0457-01        	KAWELA DUG WELL /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.071944	-156.963889                              	 130000E-4  	 	20050000	34288	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0457-01        	KAWELA DUG WELL /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.071944	-156.963889                              	 400000E-5  	 	20050000	34288	1987-03-15	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0801-02        	KAULUWAI WELL 2 /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.149167	-157.018611                              	 200000E-6  	U	20050000	34288	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0449-01        	UALAPUE WELL /  /                                                                                                                                                             	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.067222	-156.832778                              	 200000E-6  	U	20050000	34297	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0449-01        	UALAPUE WELL /  /                                                                                                                                                             	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.067222	-156.832778                              	 200000E-6  	U	20050000	34297	1987-03-15	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0457-01        	KAWELA DUG WELL /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.071944	-156.963889                              	 200000E-6  	U	20050000	34297	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0457-01        	KAWELA DUG WELL /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.071944	-156.963889                              	 200000E-6  	U	20050000	34297	1987-03-15	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0801-02        	KAULUWAI WELL 2 /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.149167	-157.018611                              	 200000E-6  	U	20050000	34297	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0449-01        	UALAPUE WELL /  /                                                                                                                                                             	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.067222	-156.832778                              	 200000E-6  	U	20050000	34303	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0449-01        	UALAPUE WELL /  /                                                                                                                                                             	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.067222	-156.832778                              	 200000E-6  	U	20050000	34303	1987-03-15	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0457-01        	KAWELA DUG WELL /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.071944	-156.963889                              	 200000E-6  	U	20050000	34303	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0457-01        	KAWELA DUG WELL /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.071944	-156.963889                              	 200000E-6  	U	20050000	34303	1987-03-15	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21HIWELL	0801-02        	KAULUWAI WELL 2 /  /                                                                                                                                                          	HAWAII DEPT OF HEALTH    	Hawaii                        	Kalawao                       	 21.149167	-157.018611                              	 200000E-6  	U	20050000	34303	1986-09-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
