Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1119ORPF	PMN904         	RGN 9 / HONOLULU /                                                                                                                                                            	                         	Hawaii                        	Honolulu                      	 21.306111	-157.859722	        	               	              	        	                                                            	005001551                               	/AMBNT/ESTURY                                                    	            0	FEET                	S	 	none
1119REG9	8000001        	PEARL HARBOR ENTR. 1200M SE / HAWAII / HONOLULU COUNTY  (OAHU ISLAND)                                                                                                         	USEPA REGION 9  WTR-2    	Hawaii                        	Honolulu                      	 21.300833	-157.959556	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	REFERENCE STATION. 10 FEET WEST SIDE OF BOUY NO. 1. REFERENCE SEA WATER SEWAGE OUTFALL. C & H HONOLULU SEWAGE FROM SAND ISLAND OUTFALL (KONA WINDS).
1119REG9	8000002        	PEARL HARBOR ENTR. SE HAMMER PT. / HAWAII / HONOLULU COUNTY  (OAHU ISLAND)                                                                                                    	USEPA REGION 9  WTR-2    	Hawaii                        	Honolulu                      	 21.311667	-157.965639	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	ALIGN BOUY NO. 4 WITH PINE TREE AT FORT KAM. 10 FEET SOUTHWEST SIDE OF BLACK BUOY NO. 3. SEWAGE SEWAGE TREATMENT PLANT, HAMMER POINT, NAD PROPERTY OPERATED BY BARBER'S POINT.
1119REG9	8000003        	PEARL HARBOR ENTR. SE HAMMER PT. / HAWAII / HONOLULU COUNTY  (OAHU ISLAND)                                                                                                    	USEPA REGION 9  WTR-2    	Hawaii                        	Honolulu                      	 21.312306	-157.964361	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	ALIGN BOUY NO. 4 WITH PINE TREE AT FORT KAM. CENTER CANAL RANGE LIGHTS. SEWAGE SEWAGE TREATMENT PLANT HAMMER POINT, NAD. SEWAGE TREATMENT PLANT FORT KAM, AF.
1119REG9	8000004        	PEARL HARBOR ENTR. SE HAMMER PT. / HAWAII / HONOLULU COUNTY  (OAHU ISLAND)                                                                                                    	USEPA REGION 9  WTR-2    	Hawaii                        	Honolulu                      	 21.312833	-157.963417	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	ALIGN BOUY NO. 4 WITH PINE TREE AT FORT KAM. 10 FEET CHANNEL SIDE OF RED BOUY NO. 4. SEWAGE SEWAGE TREATMENT PLANT HAMMER POINT, NAD. SEWAGE TREATMENT PLANT FORT KAM, AF.
1119REG9	8000005        	PEARL HARBOR ENTR OFF HAMMER PT. / HAWAII / HONOLULU COUNTY  (OAHU ISLAND)                                                                                                    	USEPA REGION 9  WTR-2    	Hawaii                        	Honolulu                      	 21.327278	-157.972444	20060000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	ALIGN NORTH EDGE OF FIRST PIER ON EAST SIDE OF CHANNEL. ALIGN RANGE LIGHTS. SEWAGE SEWAGE TREATMENT PLANT, HAMMER POINT, NAD. SEWAGE TREATMENT PLANT, FORT KAM, AF.
1119REG9	8000006        	PEARL HARBOR ENTR OFF HAMMER PT. / HAWAII / HONOLULU COUNTY  (OAHU ISLAND)                                                                                                    	USEPA REGION 9  WTR-2    	Hawaii                        	Honolulu                      	 21.327917	-157.9705  	20060000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	ALIGN NORTH EDGE OF FIRST PIER ON EAST SIDE OF CHANNEL. ALIGN NORTH EDGE OF TOWER IN WATER WITH SOUTH EDGE OF SEAWARD MOST BUSH ON HOLOKAHIKI POINT. SEWAGE SEWAGE TREATMENT PLANT, HAMMER POINT, NAD. SEWAGE TREATMENT PLANT, FORT KAM, AF.
1119REG9	8000007        	PEARL HARBOR ENTR OFF HAMMER PT. / HAWAII / HONOLULU COUNTY  (OAHU ISLAND)                                                                                                    	USEPA REGION 9  WTR-2    	Hawaii                        	Honolulu                      	 21.328472	-157.968667	20060000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	ALIGN NORTH EDGE OF FIRST PIER ON EAST SIDE OF CHANNEL. 50 FEET FROM PIER-ALIGN TOWER IN WATER WITH FIRST RED BOUY SEAWARD (BOUY "6"). SEWAGE SEWAGE TREATMENT PLANT, FORT KAM, AF. DRAINAGE DITCH WITH OIL, ADJACENT SEWAGE PLANT FORT KAM, AF.
1119REG9	8000008        	PEARL HARBOR NEAR IROQUOIS PT. / HAWAII / HONOLULU COUNTY  (OAHU ISLAND)                                                                                                      	USEPA REGION 9  WTR-2    	Hawaii                        	Honolulu                      	 21.337583	-157.974444	20060000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	ALIGN BOUY 11 WITH PIER LINE ON IROQUOIS POINT. 10 FEET SHORE SIDE OF CHANNEL MARKER NO. 11. NAVSTA
