Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 400000E-6  	 	        	82079	1994-08-01	      0715	          	        	        1.64	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 450000E-6  	 	        	82079	1994-08-01	      0710	          	        	       19.68	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 450000E-6  	 	        	82079	1994-08-01	      0705	          	        	       39.36	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 600000E-6  	 	        	82079	1994-08-29	      0725	          	        	        1.64	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 700000E-6  	 	        	82079	1994-08-29	      0720	          	        	       19.68	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 500000E-6  	 	        	82079	1994-08-29	      0715	          	        	       39.36	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 200000E-6  	 	        	82079	1994-10-03	      0940	          	        	        1.64	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 700000E-6  	 	        	82079	1994-10-03	      0930	          	        	        32.8	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 450000E-6  	 	        	82079	1994-10-03	      0935	          	        	        16.4	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 450000E-6  	 	        	82079	1995-01-09	      0820	          	        	       39.36	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 400000E-6  	 	        	82079	1995-01-09	      0815	          	        	       19.68	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 300000E-6  	 	        	82079	1995-01-09	      0810	          	        	        1.64	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 420000E-5  	 	        	82079	1995-03-13	      0755	          	        	       39.36	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 200000E-6  	 	        	82079	1995-03-13	      0745	          	        	        1.64	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 550000E-6  	 	        	82079	1995-03-13	      0750	          	        	       19.68	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 400000E-6  	 	        	82079	1995-09-05	      0725	          	        	        1.64	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 100000E-5  	 	        	82079	1995-09-05	      0715	          	        	       39.36	        	                	  	                     	B 	                                                            	
21HI    	000402         	KANEOHE BAY (NORTHERN REGION) / HAWAII / OAHU                                                                                                                                 	HAWAII DEPT OF HEALTH    	Hawaii                        	Honolulu                      	 21.496389	-157.833333                              	 400000E-6  	 	        	82079	1995-09-05	      0720	          	        	       19.68	        	                	  	                     	B 	                                                            	
