Layer,Description,Targets,Reference,Ref_troubleshoot
ocean acidification,Ocean acidification pressure scaled using biological thresholds.,pressure,@halpern_index_2012,halpern_index_2012
uv radiation,The modeled UV radiation based on Erythemal UV Irradiance data provided by GES DISC.,pressure,@halpern_index_2012,halpern_index_2012
weakness of social progress,The inverse of the Social Progress Index scores.,pressure,@halpern_index_2012,halpern_index_2012
weakness of governance,The Inverse of World Governance Indicators (WGI) calculated as the six combined scores.,pressure,@halpern_index_2012,halpern_index_2012
sea surface temperature,The difference in the annual mean sea surface temperature for Hawaii eez waters compared to the 20th century mean sea surface temperature.,pressure,@noaa:_national_centers_for_environmental_information_extended_nodate,noaa:_national_centers_for_environmental_information_extended_nodate
coral bleaching,"Mean degree heating weeks (DHW) for nearshore areas (wihting 10 km of the coastlint), with coral bleaching expected after 4 DHW.  Scores of 1 indicate that coral bleaching is expected or occured.",pressure,@noaa_satelite_and_information_service_coral_nodate,noaa_satelite_and_information_service_coral_nodate
commercial fishery hi-bycatcb,The ratio of catch to bycatch for the tuna fishery (deep set longlines).,pressure,@national_marine_fisheries_service_us_2013,national_marine_fisheries_service_us_2013
commercial fishery lo-bycatcb,The ratio of catch to bycatch for swordfish fishery (shallow set longlines).,pressure,@national_marine_fisheries_service_us_2013,national_marine_fisheries_service_us_2013
proxy for intertidal habitat destruction,"The coastal population density (withing 25 mi from shore)  as a proxy for intertidal habitat destruction, calculated as resident population per km of shoreline and standardized by maximum regional score.",pressure,@dbedt_data_2015-1,dbedt_data_2015-1
NA,NA,pressure resilience,@NA,NA
habitat weights,This is a list of habitats in each region weighted by proportion of the total area for each habitat.,pressure resilience,@NA,NA
NA,NA,pressure resilience,@NA,NA
artisanal fisheries management effectiveness and opportunity,The opportunity for artisanal and recreational fishing based on the quality of management of the small-scale fishing sector.,resilience,@halpern_index_2012,halpern_index_2012
commercial fishing management,The estimated management effectiveness of regulations and management of commercial fishing.,resilience,@halpern_index_2012,halpern_index_2012
CITES signatories,The Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories.,resilience,@halpern_index_2012,halpern_index_2012
sector evenness as a measure of economic diversity,The Shannon's Diversity Index calculated sector evenness based on the total number of sectors and the proportion of jobs belonging to any sector.,resilience,@halpern_index_2012,halpern_index_2012
Social Progress Index,The Social Progress Index scores.,resilience,@halpern_index_2012,halpern_index_2012
management of nonindigenous species,The survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: invasive species related questions.,resilience,@halpern_index_2012,halpern_index_2012
measure of coastal ecological integrity,The Species subgoal scores calculated within 3 nm of shoreline as a proxy for ecological integrity.,resilience,@halpern_index_2012,halpern_index_2012
NA,NA,resilience,@NA,NA
strength of governance,The World Governance Indicators (WGI) six combined scores.,resilience,@halpern_index_2012,halpern_index_2012
watershed partnerships,The ratio of watershed partnerships to historic native forest extent.,resilience,@office_of_planning_hawaii_nodate,office_of_planning_hawaii_nodate
NA,NA,spatial,@NA,NA
NA,NA,AO,@NA,NA
resource,The resource was calculated as the total available fish biomass compared to pristine fish biomass.,AO,@williams_human_2015,williams_human_2015
NA,NA,CON,@NA,NA
coastal protection coastal wetland extent,The area of coastal wetlands (within 1 km of the coastline).,CP,@noaa_c-cap_nodate,noaa_c-cap_nodate
NA,NA,CP,@NA,NA
NA,NA,CP,@NA,NA
NA,NA,CW pressure,@NA,NA
NA,NA,CW pressure,@NA,NA
NA,NA,CW pressure,@NA,NA
NA,NA,CW pressure,@NA,NA
NA,NA,CW pressure,@NA,NA
NA,NA,CW pressure,@NA,NA
commerical coastal pelagic fisheries catch,Coastal pelagic fish catch (lbs) reported in the commercial fishery.,FIS,@dlnr_dar_commerical_nodate,dlnr_dar_commerical_nodate
bottom fisheries commercial catch,Bottomfish catch (lbs) reported in the commercial fishery.,FIS,@dlnr_dar_commerical_nodate,dlnr_dar_commerical_nodate
pelagic fisheries commerical catch,Pelagic fish catch (lbs) reported in the commercial fishery.,FIS,@dlnr_dar_commerical_nodate,dlnr_dar_commerical_nodate
recreational catch multiplier,A multiplier for reported commercial catch of nearshore fish used to estimate the contribution of non-commercial (recreation & subsistence) catch.,FIS,@NA,NA
commercial reef fisheries catch,Reef fish catch (lbs) reported in the commercial fishery.,FIS,@dlnr_dar_commerical_nodate,dlnr_dar_commerical_nodate
NA,NA,FIS,@NA,NA
NA,NA,FP,@NA,NA
biodiversity coastal wetland extent,The wetlands extent layer was created from HI wetlands layer (1979) and TNC marxan wetlands layer. Deep water habitats were removed to focus on nearshore estuaries and wetlands.,HAB,@NA,NA
soft bottom extent,Soft bottom habitat extent was derived from the cumulative impact habitat maps.,HAB,@lecky_ecosystem_2016,lecky_ecosystem_2016
reef extent,The hardbottom extent out to 80 meters modified from NOAA habitat maps.,HAB,@lecky_ecosystem_2016,lecky_ecosystem_2016
beach extent,"Beach extent was caluclated from the from ESI GIS layer (Beaches (3,4,5 classifications)). The data units are in km not km2 like other habitats.",HAB,@noaa_hawaii_nodate,noaa_hawaii_nodate
beach condition,The condition of coastal habitats measured as the percent of beaches erroding per region.,HAB,@fletcher_national_2012,fletcher_national_2012
coastal wetland condition,Wetland condition was calculated based on percent of historical extent.,HAB,@van_rees_wetland_2014,van_rees_wetland_2014
soft bottom condition,The percent of softbottom habitat not impacted by dredging.,HAB,@lecky_ecosystem_2016,lecky_ecosystem_2016
soft bottom trend,Trend was not evaluated for soft bottom habitats.,HAB,@NA,NA
wetland trend,The annual percent change in wetland extend based on NOAA C-CAP data comparisions from 2005 to 2010/2011.,HAB,@noaa_c-cap_nodate,noaa_c-cap_nodate
beach trend,"The average short-term errosine rate of beaches, estimated at -0.06 m per year.",HAB,@fletcher_national_2012,fletcher_national_2012
reef trend,The estimated change in percent coral cover calculated from the past 5 years of available monitoring data from NOAA Coral Reef Ecosystem Program.,HAB,@mccoy_pacific_2017,mccoy_pacific_2017
NA,NA,LE,@NA,NA
NA,NA,LE,@NA,NA
unemployment,The unemployment rate.,LE,@dbedt_section_nodate,dbedt_section_nodate
ocean and coastal revenue,The revenue generated per ocean sector for each county.,LE,@enow_time-series_2017,enow_time-series_2017
ocean and coastal jobs,The total number of jobs per ocean sector for each county.,LE,@enow_time-series_2017,enow_time-series_2017
resident population,The number of residents per county.,LE,@dbedt_data_2015-1,dbedt_data_2015-1
workforce,The total number of jobs per county.,LE,@dbedt_section_nodate,dbedt_section_nodate
NA,NA,LE,@NA,NA
area within 1 km of the shore,The coastal area within 1 km of the shore.,LSP,@office_of_planning_hawaii_nodate,office_of_planning_hawaii_nodate
offshore area to 3nm,The offshore area to 3nm.,LSP,@office_of_planning_hawaii_nodate,office_of_planning_hawaii_nodate
NA,NA,LSP,@NA,NA
NA,NA,LSP,@NA,NA
marine managed areas,"The offshore areas protected to 3nm, including CBSFA, FRA, BFA, and MPA classifications.",LSP,@office_of_planning_hawaii_nodate,office_of_planning_hawaii_nodate
NA,NA,LSP,@NA,NA
NA,NA,LSP,@NA,NA
operations,The number of mariculture operators.,MAR,@usda_national_nodate,usda_national_nodate
area of active fishponds,The area of current fishponds per county.,MAR,@NA,NA
fishpond status,Ratio of active fishponds to historical number,MAR,@NA,NA
number of fishponds,The current number of fishponds.,MAR,@NA,NA
mariculture yield,Production of shellfish and foodfish from mariculture facilities,MAR,@us_doa_hawaii:_2015,us_doa_hawaii:_2015
sea level rise,The estimated pressure on coastal areas from a 3.2 ft prediction of the near future sea level rise.,pressure,@hawaii_climate_change_mitigation_and_adaptation_commission_hawaii_nodate,hawaii_climate_change_mitigation_and_adaptation_commission_hawaii_nodate
economic loss from sea level rise,The estimated economic loss from a predicted near future 3.2 ft sea level rise.,pressure,@hawaii_climate_change_mitigation_and_adaptation_commission_hawaii_nodate,hawaii_climate_change_mitigation_and_adaptation_commission_hawaii_nodate
ocean warming,The estimated pressure caused on the nearshore environment due to ocean warming. The maximum observed Degree Heating Week (DHW) per pixel was calculated over the time frame of the data (2013-2016). Pixels exceeding 12 DHW were set to the maximum value since it is likely that major coral mortality has occurred those areas.,pressure,@otp_pacioos:_nodate,otp_pacioos:_nodate
forest/watershed health,The percent of native forests dominated by non-native species.,pressure,@NA,NA
aquarium fishing,The pressure on the nearshore from aquarium fishing estimated as the reported take to DAR.,pressure,@otp_pacioos:_nodate,otp_pacioos:_nodate
