header_layer,layer_name,description,reference,url
access,ao_access,"Estimated fishery access for boat based and land based fishing based on boat ramps, shoreline access, roads, and steepness of shoreline.",Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
need,ao_need,Marine Recreational Fishery Survey (hmrfs) data on the percent of households that fish. This information is used to estimate the need per county.,http://www.fpir.noaa.gov/SFD/SFD_rcf_hmrfs.html,http://www.fpir.noaa.gov/SFD/SFD_rcf_hmrfs.html
residents,ao_residents,The number of residents per county. The number of residents and the need is used to get a percentage of the total residents that fish.,DEBDT,http://dbedt.hawaii.gov/economic/databook/db2015/
resource,ao_resource,The resource was calculated as the total available harvest fish biomass compared to pristine fish biomass.,NOAA CREP Williams et al 2012,NA
fishpond area,area of active fishponds,The area of current fishponds per county.,TNC updated fishpond layer,NA
ocean acidification,cc_acid,Ocean acidification pressure scaled using biological thresholds.,Halpern et al. 2008,http://www.oceanhealthindex.org/methodology/components
sea level rise,cc_slr,The estimated pressure on the nearshore and coastal areas from sea level rise.,Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
sea surface temperature,cc_sst,Sea surface temperature anomalies.,Halpern et al. 2008,http://www.oceanhealthindex.org/methodology/components
uv radiation,cc_uv,The modeled UV radiation based on Erythemal UV Irradiance data provided by GES DISC.,Halpern et al. 2008,http://www.oceanhealthindex.org/methodology/components
ocean warming,cc_warm,The estimated pressure caused on the nearshore environment due to ocean warming. The maximum observed Degree Heating Week (DHW) per pixel was calculated over the time frame of the data (2013-2016). Pixels exceeding 12 DHW were set to the maximum value since it is likely that major coral mortality has occurred those areas.,Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
community stewardship,community_stewardship,"The number of potential Community Based Subsistence Fishing Areas (CBSFA) and interested communities, and the active fishponds, scaled to maximum number per county.",KUA; TNC fishpond layer,NA
coastal protection beach condition,cp_hab_condition,The condition of coastal habitats measured as the percent of beaches erroding per region.,"Fletcher, C.H., Romine, B.M., Genz, A.S., Barbee, M.M., Dyer, Matthew, Anderson, T.R., Lim, S.C., Vitousek, Sean, Bochicchio, Christopher, and Richmond, B.M., 2012, National assessment of shoreline change: Historical shoreline change in the Hawaiian Islands: U.S. Geological Survey Open-File Report 2011–1051, 55 p.",https://pubs.usgs.gov/of/2011/1051/pdf/ofr2011-1051_report_508.pdf
coastal protection coastal wetland condition,cp_hab_condition,The condition of coastal wetlands measured as the percent of historic extent.,"Van Rees, CB and Reed M (2014) Wetland loss in Hawaii since human settlement. Wetlands 34:335-350",https://www.researchgate.net/profile/J_Reed/publication/259637070_Wetland_Loss_in_Hawai'i_Since_Human_Settlement/links/54202e380cf241a65a1b0d1c.pdf
coastal protection reef condition,cp_hab_condition,"The benthic condition of coral reefs assessed through a combination of variables including percent coral cover, percent macroalgae cover, demography, and mortality.",NOAA report card,in review
coastal protection beach extent,cp_hab_extent_mhi2017,"Beach extent was caluclated from the from ESI GIS layer (Beaches (3,4,5 classifications)). The data units are in km not km2 like other habitats.",NOAA ESI,https://response.restoration.noaa.gov/maps-and-spatial-data/download-esi-maps-and-gis-data.html
coastal protection beach trend,cp_hab_extent_mhi2017,"The average short-term errosine rate of beaches, estimated at -0.06 m per year.","Fletcher, C.H., Romine, B.M., Genz, A.S., Barbee, M.M., Dyer, Matthew, Anderson, T.R., Lim, S.C., Vitousek, Sean, Bochicchio, Christopher, and Richmond, B.M., 2012, National assessment of shoreline change: Historical shoreline change in the Hawaiian Islands: U.S. Geological Survey Open-File Report 2011–1051, 55 p.",https://pubs.usgs.gov/of/2011/1051/pdf/ofr2011-1051_report_508.pdf
coastal protection coastal wetland extent,cp_hab_extent_mhi2017,The area of coastal wetlands (within 1 km of the coastline).,NOAA C-CAP 2010/2011,https://coast.noaa.gov/ccapatlas/
coastal protection reef extent,cp_hab_extent_mhi2017,Hardbottom extent out to 80 meters modified from NOAA habitat maps.,Lecky 2016 Ecosystem vulnerability and mapping cumulative impacts on Hawaiian reefs,NA
coastal protection coastal wetland trend,cp_hab_trend_mhi2017,The annual percent change in wetland extend based on NOAA C-CAP data comparisions from 2005 to 2010/2011.,NOAA C-CAP,https://coast.noaa.gov/ccapatlas/
coastal protection reef trend,cp_hab_trend_mhi2017,The estimated change in percent coral cover calculated from the past 5 years of available monitoring data from NOAA Coral Reef Ecosystem Program.,NOAA CREP 2017 Report,https://www.pifsc.noaa.gov/cred/monitoring_status_reports.php
habitat weights,element_wts_hab_pres_abs,This is a list of habitats in each region weighted by proportion of the total area for each habitat.,see habitat extent layers,NA
commerical coastal pelagic fisheries catch,fis_coast_pelagic_catch,Coastal pelagic fish catch (lbs) reported in the commercial fishery.,DLNR-DAR,http://dlnr.hawaii.gov/dar/fishing/commercial-fishing/
bottom fisheries commercial catch,fis_deep_catch,Bottomfish catch (lbs) reported in the commercial fishery.,DLNR-DAR,http://dlnr.hawaii.gov/dar/fishing/commercial-fishing/
pelagic fisheries commerical catch,fis_pelagic_catch,Pelagic fish catch (lbs) reported in the commercial fishery.,DLNR-DAR,http://dlnr.hawaii.gov/dar/fishing/commercial-fishing/
commercial reef fisheries catch,fis_reef_catch,Reef fish catch (lbs) reported in the commercial fishery.,DLNR-DAR,http://dlnr.hawaii.gov/dar/fishing/commercial-fishing/
recreational catch multiplier,fis_reef_catch_multiplier,A multiplier for reported commercial catch of nearshore fish used to estimate the contribution of non-commercial (recreation & subsistence) catch.,McCoy and Williams in review,NA
sustainability of bottomfishery,fis_sus_score,Bottomfish stock assessment.,NOAA,http://www.cio.noaa.gov/services_programs/prplans/pdfs/ID309_Hawaiian_Bottomfish_Final_Product.pdf
sustainability of pelagic fishery,fis_sus_score,Pelagic (tuna and swordfish) stock assessments.,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean (ISC),http://isc.fra.go.jp/recommendation/index.html
sustainability of reef fishery,fis_sus_score,Reef fish stock assessment.,NOAA,file:///Users/eschemmel/Downloads/noaa_13291_DS1%20(2).pdf
forest/watershed health,forest_health,The percent of native forests dominated by non-native species.,TNC 2010,NA
percent of forest dominated by non-native species,forest_health,The percent of forest dominated by non-native species.,TNC Native Forest data (GRIM),NA
commercial fishery hi-bycatcb,fp_com_hb,The ratio of catch to bycatch for the tuna fishery (deep set longlines).,NOAA bycatch summary report for Pacific Islands,http://www.st.nmfs.noaa.gov/observer-home/first-edition-update-1
commercial fishery lo-bycatcb,fp_com_lb,The ratio of catch to bycatch for swordfish fishery (shallow set longlines).,NOAA bycatch summary report for Pacific Islands,http://www.st.nmfs.noaa.gov/observer-home/first-edition-update-1
aquarium fishing,fp_fish_aquarium,The pressure on the nearshore from aquarium fishing estimated as the reported take to DAR.,Ocean Tipping Points/DLNR-DAR,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data
