Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
21HI    	000803         	HAENA BEACH / KAUAI / HAENA                                                                                                                                                   	HAWAII DEPT OF HEALTH    	Hawaii                        	Kauai                         	 22.223889	-159.586667	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            1	FEET                	S	 	000803   HAENA BEACH                             KAUAI     HAENA KUHIO HWY. BEACH                 AA   B2-M   CO
21HI    	000804         	HANALEI BAY LANDING / KAUAI / HAENA                                                                                                                                           	HAWAII DEPT OF HEALTH    	Hawaii                        	Kauai                         	 22.215833	-159.5     	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            1	FEET                	S	 	000804   HANALEI BAY LANDING                     KAUAI     HAENA WEKE RD. BEACH                 AA   B2-M   C4-Y
21HI    	000805         	HANALEI BAY PAVILION / KAUAI /                                                                                                                                                	HAWAII DEPT OF HEALTH    	Hawaii                        	Kauai                         	 22.210278	-159.501389	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            1	FEET                	S	 	000805   HANALEI BAY PAVILION                    KAUAI     HAENA WEKE RD. BEACH                 AA   B1-W   CO
21HI    	000806         	HANAMAULU BEACH (MIDDLE) / KAUAI / HANAMAULU BAY                                                                                                                              	HAWAII DEPT OF HEALTH    	Hawaii                        	Kauai                         	 21.996667	-159.344167	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            1	FEET                	S	 	000806   HANAMAULU BEACH (MIDDLE)                KAUAI     HANAMAULU BAY HEHI RD. BEACH                  A   B2-M   C4-Y
21HI    	000807         	HANAMAULU BEACH (N.E. END) / KAUAI / HANAMAULU BAY                                                                                                                            	HAWAII DEPT OF HEALTH    	Hawaii                        	Kauai                         	 21.998333	-159.344167	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            1	FEET                	S	 	000807   HANAMAULU BEACH (N.E. END)              KAUAI     HANAMAULU BAY HEHI RD. BEACH                  A   B2-M   CO
21HI    	000808         	HANAPEPE SALT POND / KAUAI / WAIMEA                                                                                                                                           	HAWAII DEPT OF HEALTH    	Hawaii                        	Kauai                         	 21.903333	-159.611667	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            1	FEET                	S	 	000808   HANAPEPE SALT POND                      KAUAI     WAIMEA MAKAWELI LOKOKAI RD. BEACH                  A   B1-W   CO
21HI    	000809         	KALAPAKI BEACH (MIDDLE) / KAUAI / LIHUE                                                                                                                                       	HAWAII DEPT OF HEALTH    	Hawaii                        	Kauai                         	 21.963333	-159.353333	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            1	FEET                	S	 	000809   KALAPAKI BEACH (MIDDLE)                 KAUAI     LIHUE KALAPAKI RICE ST. BEACH                  A   B1-W   C4-Y
21HI    	000810         	KALAPAKI BEACH (N.E. END) / KAUAI / LIHUE                                                                                                                                     	HAWAII DEPT OF HEALTH    	Hawaii                        	Kauai                         	 21.963333	-159.351667	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            1	FEET                	S	 	000810   KALAPAKI BEACH (N.E. END)               KAUAI     LIHUE KALAPAKI RICE ST. BEACH                  A   B1-W   CO
21HI    	000811         	KALIHIWAI BAY BEACH / KAUAI / KAPAA                                                                                                                                           	HAWAII DEPT OF HEALTH    	Hawaii                        	Kauai                         	 22.220833	-159.428611	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            1	FEET                	S	 	000811   KALIHIWAI BAY BEACH                     KAUAI     KAPAA KILAUEA OLD KUHIO RD. BEACH                  A   B2-M   CO
