Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21HI    	000678         	WAIHIKULI BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                      	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.904167	-156.679167                              	 100000E-5  	K	20020000	82700	1998-06-01	      1024	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000678         	WAIHIKULI BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                      	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.904167	-156.679167                              	 100000E-5  	K	20020000	82700	1998-07-06	      1048	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000678         	WAIHIKULI BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                      	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.904167	-156.679167                              	 500000E-6  	 	20020000	82700	1998-08-03	      1056	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000678         	WAIHIKULI BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                      	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.904167	-156.679167                              	 300000E-6  	K	20020000	82700	1998-09-09	      1100	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000678         	WAIHIKULI BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                      	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.904167	-156.679167                              	 300000E-6  	K	20020000	82700	1998-10-05	      1041	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000678         	WAIHIKULI BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                      	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.904167	-156.679167                              	 800000E-6  	 	20020000	82700	1998-11-09	      1051	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 500000E-5  	 	20020000	82700	1993-06-07	      1000	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 800000E-5  	 	20020000	82700	1993-07-06	      1005	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 700000E-5  	 	20020000	82700	1993-08-02	      1040	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 100000E-4  	 	20020000	82700	1993-09-07	      1030	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 300000E-5  	 	20020000	82700	1993-10-11	      1045	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 100000E-5  	 	20020000	82700	1993-11-08	      1005	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 200000E-5  	 	20020000	82700	1993-12-20	      1010	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 500000E-5  	 	20020000	82700	1994-01-10	      0950	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 140000E-4  	 	20020000	82700	1994-02-07	      0945	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 200000E-5  	 	20020000	82700	1994-03-14	      0955	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 300000E-5  	 	20020000	82700	1994-04-11	      0955	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 100000E-4  	 	20020000	82700	1994-05-09	      1005	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 700000E-5  	 	20020000	82700	1994-06-15	      0910	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 500000E-5  	 	20020000	82700	1994-07-05	      1020	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 100000E-5  	 	20020000	82700	1994-08-08	      1015	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 600000E-5  	 	20020000	82700	1994-09-13	      1020	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 110000E-4  	 	20020000	82700	1994-10-03	      1044	          	        	           0	        	                	  	                     	B 	                                                            	
21HI    	000679         	KALAMA BEACH / HAWAII STATE / MAUI AND KALAWAO COUNTY                                                                                                                         	HAWAII DEPT OF HEALTH    	Hawaii                        	Maui                          	 20.733333	-156.458333                              	 370000E-4  	 	20020000	82700	1994-12-05	      1044	          	        	           0	        	                	  	                     	B 	                                                            	
