Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11NPSWRD	HALE_NBS_A1    	ALELELE STREAM 5M UPSTREAM FROM HIGHWAY BRIDGE / HAWAII / MAUI - KALAWAO CO                                                                                                   	NATIONAL PARK SERVICE    	Hawaii                        	Maui                          	 20.651556	-156.087583	20020000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THE SITE IS LOCATED ON THE KAUPO HAWAII - MAUI COUNTY 7.5 MINUTE SERIES(TOPOGRAPHIC) QUADRANGLE.  THE SITE IS OUTSIDE HALEAKALA NATIONAL PARK (HALE) IN ALELELE STREAM 5M UPSTREAM FROM THE HANA HIGHWAY BRIDGE. DATA ARE FROM FIELD NOTES FOR THE 1995 HALE TECHNICAL REPORT "ALELELE STREAM ASSESSMENT" BY PAUL O'CONNOR OF THE NATIONAL BIOLOGICAL SERVICE. LATITUDE AND LONGITUDE COORDINATE VALUES WERE OBTAINED BY DIGITIZING A POINT ON THE QUADRANGLE MAP MATCHING THE SITE DESCRIPTION IN THE REPORT. FOR MORE INFORMATION CONTACT RESOURCE MANAGEMENT AT HALEAKALA NATIONAL PARK; P.O. BOX 369; MAKAWAO MAUI; HI 96768.  TEL. 808-572-9306.  DATA WERE PROCESSED AND UPLOADED TO STORET BY J. CHRIS ECHOHAWK; NATIONAL PARK SERVICE WATER RESOURCES DIVISION; 1201 OAK RIDGE DR. SUITE 250; FORT COLLINS CO 80525.; TEL. 970-225-3516.  FAX. 970-225-9965.
11NPSWRD	HALE_NBS_P1    	PUA'ALU'U STREAM BENEATH HANA HIGHWAY BRIDGE / HAWAII / MAUI - KALAWAO CO                                                                                                     	NATIONAL PARK SERVICE    	Hawaii                        	Maui                          	 20.671611	-156.045556	20020000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THE SITE IS LOCATED ON THE KIPAHULU HAWAII - MAUI COUNTY 7.5 MINUTE SERIES(TOPOGRAPHIC) QUADRANGLE.  THE SITE IS OUTSIDE HALEAKALA NATIONAL PARK (HALE) IN PUA'ALU'U STREAM BENEATH THE HANA HIGHWAY BRIDGE. DATA ARE FROM FIELD NOTES FOR THE 1995 HALE TECHNICAL REPORT "ALELELE STREAM ASSESSMENT" BY PAUL O'CONNOR OF THE NATIONAL BIOLOGICAL SERVICE. LATITUDE AND LONGITUDE COORDINATE VALUES WERE OBTAINED BY DIGITIZING A POINT ON THE QUADRANGLE MAP MATCHING THE SITE DESCRIPTION IN THE REPORT. FOR MORE INFORMATION CONTACT RESOURCE MANAGEMENT AT HALEAKALA NATIONAL PARK; P.O. BOX 369; MAKAWAO MAUI; HI 96768.  TEL. 808-572-9306.  DATA WERE PROCESSED AND UPLOADED TO STORET BY J. CHRIS ECHOHAWK; NATIONAL PARK SERVICE WATER RESOURCES DIVISION; 1201 OAK RIDGE DR. SUITE 250; FORT COLLINS CO 80525.; TEL. 970-225-3516.  FAX. 970-225-9965.
11NPSWRD	HALE_NBS_WC1   	OHE O GULCH 25M UPSTREAM OF STREAM MOUTH / HAWAII / MAUI - KALAWAO CO                                                                                                         	NATIONAL PARK SERVICE    	Hawaii                        	Maui                          	 20.665944	-156.044083	20020000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THE SITE IS LOCATED ON THE KIPAHULU HAWAII - MAUI COUNTY 7.5 MINUTE SERIES(TOPOGRAPHIC) QUADRANGLE.  THE SITE IS INSIDE HALEAKALA NATIONAL PARK (HALE) IN 'OHE'O GULCH 25M UPSTREAM OF STREAM MOUTH. DATA ARE FROM FIELD NOTES FOR THE 1995 HALE TECHNICAL REPORT "ALELELE STREAM ASSESSMENT" BY PAUL O'CONNOR OF THE NATIONAL BIOLOGICAL SERVICE. LATITUDE AND LONGITUDE COORDINATE VALUES WERE OBTAINED BY DIGITIZING A POINT ON THE QUADRANGLE MAP MATCHING THE SITE DESCRIPTION IN THE REPORT. FOR MORE INFORMATION CONTACT RESOURCE MANAGEMENT AT HALEAKALA NATIONAL PARK; P.O. BOX 369; MAKAWAO MAUI; HI 96768.  TEL. 808-572-9306.  DATA WERE PROCESSED AND UPLOADED TO STORET BY J. CHRIS ECHOHAWK; NATIONAL PARK SERVICE WATER RESOURCES DIVISION; 1201 OAK RIDGE DR. SUITE 250; FORT COLLINS CO 80525.; TEL. 970-225-3516.  FAX. 970-225-9965.
11NPSWRD	HALE_NBS_WC2   	OHE O GULCH 30M UPSTREAM FROM HIGHWAY BRIDGE / HAWAII / MAUI - KALAWAO CO                                                                                                     	NATIONAL PARK SERVICE    	Hawaii                        	Maui                          	 20.666944	-156.046222	20020000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THE SITE IS LOCATED ON THE KIPAHULU HAWAII - MAUI COUNTY 7.5 MINUTE SERIES(TOPOGRAPHIC) QUADRANGLE.  THE SITE IS INSIDE HALEAKALA NATIONAL PARK (HALE) IN 'OHE'O GULCH 30M UPSTREAM FROM THE HANA HIGHWAY BRIDGE. DATA ARE FROM FIELD NOTES FOR THE 1995 HALE TECHNICAL REPORT "ALELELE STREAM ASSESSMENT" BY PAUL O'CONNOR OF THE NATIONAL BIOLOGICAL SERVICE. LATITUDE AND LONGITUDE COORDINATE VALUES WERE OBTAINED BY DIGITIZING A POINT ON THE QUADRANGLE MAP MATCHING THE SITE DESCRIPTION IN THE REPORT. FOR MORE INFORMATION CONTACT RESOURCE MANAGEMENT AT HALEAKALA NATIONAL PARK; P.O. BOX 369; MAKAWAO MAUI; HI 96768.  TEL. 808-572-9306.  DATA WERE PROCESSED AND UPLOADED TO STORET BY J. CHRIS ECHOHAWK; NATIONAL PARK SERVICE WATER RESOURCES DIVISION; 1201 OAK RIDGE DR. SUITE 250; FORT COLLINS CO 80525.; TEL. 970-225-3516.  FAX. 970-225-9965.
11NPSWRD	HALE_NBS_WC3   	PALIKEA STREAM 10M UPSTREAM FROM TRAIL CROSSING / HAWAII / MAUI - KALAWAO CO                                                                                                  	NATIONAL PARK SERVICE    	Hawaii                        	Maui                          	 20.684111	-156.069278	20020000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THE SITE IS LOCATED ON THE KIPAHULU HAWAII - MAUI COUNTY 7.5 MINUTE SERIES(TOPOGRAPHIC) QUADRANGLE.  THE SITE IS INSIDE HALEAKALA NATIONAL PARK (HALE) IN PALIKEA STREAM 10M UPSTREAM FROM THE TRAIL CROSSING. DATA ARE FROM FIELD NOTES FOR THE 1995 HALE TECHNICAL REPORT "ALELELE STREAM ASSESSMENT" BY PAUL O'CONNOR OF THE NATIONAL BIOLOGICAL SERVICE. LATITUDE AND LONGITUDE COORDINATE VALUES WERE OBTAINED BY DIGITIZING A POINT ON THE QUADRANGLE MAP MATCHING THE SITE DESCRIPTION IN THE REPORT. FOR MORE INFORMATION CONTACT RESOURCE MANAGEMENT AT HALEAKALA NATIONAL PARK; P.O. BOX 369; MAKAWAO MAUI; HI 96768.  TEL. 808-572-9306.  DATA WERE PROCESSED AND UPLOADED TO STORET BY J. CHRIS ECHOHAWK; NATIONAL PARK SERVICE WATER RESOURCES DIVISION; 1201 OAK RIDGE DR. SUITE 250; FORT COLLINS CO 80525.; TEL. 970-225-3516.  FAX. 970-225-9965.
11NPSWRD	HALE_NBS_WC4   	PIPIWAI STREAM 10M UPSTREAM OF PALIKEA STREAM / HAWAII / MAUI - KALAWAO CO                                                                                                    	NATIONAL PARK SERVICE    	Hawaii                        	Maui                          	 20.673278	-156.056667	20020000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THE SITE IS LOCATED ON THE KIPAHULU HAWAII - MAUI COUNTY 7.5 MINUTE SERIES(TOPOGRAPHIC) QUADRANGLE.  THE SITE IS INSIDE HALEAKALA NATIONAL PARK (HALE) IN PIPIWAI STREAM 10M UPSTREAM OF PALIKEA STREAM. DATA ARE FROM FIELD NOTES FOR THE 1995 HALE TECHNICAL REPORT "ALELELE STREAM ASSESSMENT" BY PAUL O'CONNOR OF THE NATIONAL BIOLOGICAL SERVICE. LATITUDE AND LONGITUDE COORDINATE VALUES WERE OBTAINED BY DIGITIZING A POINT ON THE QUADRANGLE MAP MATCHING THE SITE DESCRIPTION IN THE REPORT. FOR MORE INFORMATION CONTACT RESOURCE MANAGEMENT AT HALEAKALA NATIONAL PARK; P.O. BOX 369; MAKAWAO MAUI; HI 96768.  TEL. 808-572-9306.  DATA WERE PROCESSED AND UPLOADED TO STORET BY J. CHRIS ECHOHAWK; NATIONAL PARK SERVICE WATER RESOURCES DIVISION; 1201 OAK RIDGE DR. SUITE 250; FORT COLLINS CO 80525.; TEL. 970-225-3516.  FAX. 970-225-9965.
11NPSWRD	KALA_NBS_W1    	WAIKOLU STREAM 50M UPSTREAM OF STREAM MOUTH / HAWAII / MAUI - KALAWAO CO                                                                                                      	NATIONAL PARK SERVICE    	Hawaii                        	Maui                          	 21.174028	-156.930861	20050000	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THE SITE IS LOCATED ON THE KAMALO HAWAII - MAUI COUNTY 7.5 MINUTE SERIES(TOPOGRAPHIC) QUADRANGLE.  THE SITE IS OUTSIDE KALAUPAPA NATIONAL HISTORICAL SITE IN WAIKOLU STREAM 50M UPSTREAM OF THE STREAM MOUTH.  DATA ARE FROM FIELD NOTES FOR THE 1995 HALEAKALA NATIONAL PARK TECHNICAL REPORT "ALELELE STREAM ASSESSMENT" BY PAUL O'CONNOR OF THE NATIONAL BIOLOGICAL SERVICE. LATITUDE AND LONGITUDE COORDINATE VALUES WERE OBTAINED BY DIGITIZING A POINT ON THE QUADRANGLE MAP MATCHING THE SITE DESCRIPTION IN THE REPORT. FOR MORE INFORMATION CONTACT RESOURCE MANAGEMENT AT KALAUPAPA NATIONAL HISTORICAL SITE; P.O. BOX 52; KALAUPAPA HI 96742.  TEL. 808-572-9306. WERE PROCESSED AND UPLOADED TO STORET BY J. CHRIS ECHOHAWK; NATIONAL PARK SERVICE WATER RESOURCES DIVISION; 1201 OAK RIDGE DR. SUITE 250; FORT COLLINS CO 80525.; TEL. 970-225-3516.  FAX. 970-225-9965.
11TOX09 	000075         	KAHULUI HARBOR / HAWAII / MAUI                                                                                                                                                	USEPA REGION 9  WTR-2    	Hawaii                        	Maui                          	      20.9	-156.475   	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/ESTURY                                               	          999	FEET                	S	 	none
11TOX09 	000179         	MANELE BAY, LANAI / HAWAII / MAUI - KALAWAO                                                                                                                                   	USEPA REGION 9  WTR-2    	Hawaii                        	Maui                          	 20.745833	-156.887944	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/ESTURY                                               	          999	FEET                	S	 	none
