
Code 	Short Name                	Long Name                                         	Hawaii Totals	    Hawaii	  Honolulu	   Kalawao	     Kauai	      Maui
-----	--------------------------	--------------------------------------------------	-------------	----------	----------	----------	----------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	          120	         0	       120	         0	         0	         0
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	        16440	      2234	      9607	         0	      1999	      2600
00020	AIR      TEMP     CENT    	TEMPERATURE, AIR (DEGREES CENTIGRADE)             	          207	         0	         0	         0	         0	       207
00023	WEIGHT    POUNDS          	SAMPLE WEIGHT IN POUNDS                           	           62	         0	        62	         0	         0	         0
00024	LENGTH    INCHES          	SAMPLE LENGTH IN INCHES                           	           67	         0	        67	         0	         0	         0
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	            4	         1	         2	         0	         0	         1
00029	FIELD    IDENT    NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	            5	         2	         3	         0	         0	         0
00032	CLOUD    COVER    PERCENT 	CLOUD COVER (PERCENT)                             	          110	         0	         0	         0	         0	       110
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	         2313	         0	      2313	         0	         0	         0
00074	TURB     TRANS    %       	TURBIDITY, TRANSMISSOMETER, PERCENT TRANSMISSION  	          669	         0	       669	         0	         0	         0
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	          226	       155	        10	         0	        36	        25
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	         1827	         0	      1827	         0	         0	         0
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	         1729	       197	      1117	         0	       320	        95
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	          248	        29	       181	         0	        38	         0
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	          431	       196	         0	         0	         0	       235
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	        14114	      1901	      8482	         0	      1797	      1934
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	        14176	      2019	      8241	         0	      1786	      2130
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	          243	         0	       243	         0	         0	         0
00340	COD      HI LEVEL MG/L    	COD, .25N K2CR2O7                             MG/L	           43	        31	        12	         0	         0	         0
00342	SEA COD   MG/L            	COD,  SALINE, .25N K2CR2O7                    MG/L	            9	         0	         9	         0	         0	         0
00400	PH        SU              	PH (STANDARD UNITS)                               	        12428	      1691	      7120	         0	      1552	      2065
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	         1563	         0	      1557	         0	         0	         6
