
Honolulu, HI
Number of Stations = 494


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	120   	1969-01-07	1974-01-08	  1.01E+05  	  9.99E+04  	  5.30E+04
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	263   	9607  	1971-10-06	1998-12-29	  1.00E+01  	  4.43E+01  	  2.50E+01
00023	WEIGHT    POUNDS          	SAMPLE WEIGHT IN POUNDS                           	2     	62    	1970-10-01	1984-10-01	   .00E+00  	  6.00E-01  	  1.79E-01
00024	LENGTH    INCHES          	SAMPLE LENGTH IN INCHES                           	2     	67    	1970-10-01	1984-10-01	  1.00E+01  	  9.80E+00  	  5.62E+00
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	2     	2     	1980-04-17	1980-04-22	  1.98E+03  	  1.98E+03  	  1.98E+03
00029	FIELD    IDENT    NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	2     	3     	1987-07-16	1987-07-29	  2.60E+04  	  2.60E+04  	  2.60E+04
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	187   	2313  	1971-08-30	1972-08-01	   .00E+00  	  9.80E+00  	  7.49E+00
00074	TURB     TRANS    %       	TURBIDITY, TRANSMISSOMETER, PERCENT TRANSMISSION  	92    	669   	1972-05-24	1972-07-26	  3.00E+01  	  9.40E+01  	  7.00E+01
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	7     	10    	1976-09-08	1980-07-21	  1.00E+00  	  5.30E+00  	  2.07E+00
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	119   	1827  	1971-10-07	1972-08-01	   .00E+00  	  9.84E+01  	  9.70E+01
