
Maui, HI
Number of Stations = 130


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	58    	2600  	1973-02-05	1997-10-21	  1.70E+01  	  3.39E+01  	  2.40E+01
00020	AIR      TEMP     CENT    	TEMPERATURE, AIR (DEGREES CENTIGRADE)             	7     	207   	1994-10-18	1995-11-16	  1.70E+01  	  4.10E+01  	  2.36E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	1     	1     	1980-06-24	1980-06-24	  1.98E+03  	  1.98E+03  	  1.98E+03
00032	CLOUD    COVER    PERCENT 	CLOUD COVER (PERCENT)                             	7     	110   	1994-10-18	1995-11-16	   .00E+00  	  7.00E+01  	  2.28E+01
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	8     	25    	1976-08-10	1980-06-25	  1.00E+00  	  9.00E-01  	  1.85E+00
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	6     	95    	1978-12-04	1990-08-13	   .00E+00  	  9.00E-01  	  5.38E+00
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	7     	235   	1994-10-18	1995-11-16	  1.12E+01  	  9.90E+00  	  8.22E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	43    	1934  	1973-02-06	1997-10-21	  1.00E+01  	  9.98E+00  	  7.35E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	50    	2130  	1973-02-06	1997-10-21	  1.00E+02  	  9.93E+01  	  8.67E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	51    	2065  	1973-02-05	1997-10-21	  4.60E+00  	  8.90E+00  	  8.01E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	3     	6     	1980-10-20	1980-12-08	  8.40E+00  	  8.60E+00  	  8.48E+00
00406	PH       FIELD    SU      	PH, FIELD, STANDARD UNITS                       SU	7     	229   	1994-10-18	1995-11-16	  4.27E+00  	  8.80E+00  	  6.69E+00
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	7     	236   	1994-10-18	1995-11-16	  1.00E+02  	  9.70E+01  	  4.30E+01
00415	PHEN-PH- LFIN ALK MG/L    	ALKALINITY, PHENOLPHTHALEIN (MG/L)                	7     	236   	1994-10-18	1995-11-16	   .00E+00  	   .00E+00  	   .00E+00
00480	SALINITY  PPTH            	SALINITY - PARTS PER THOUSAND                     	62    	4756  	1973-02-05	1998-12-15	  1.00E+01  	  9.20E+00  	  3.32E+01
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	38    	806   	1977-05-09	1997-10-21	  1.00E+01  	  9.90E+00  	  7.61E+01
00600	TOTAL N  N        MG/L    	NITROGEN, TOTAL (MG/L AS N)                       	43    	984   	1973-02-05	1997-10-21	   .00E+00  	  9.90E-01  	  2.43E-01
00601	N-TOTAL  NON-FILT MG/L-N  	NITROGEN TOTAL  NON-FILTERABLE   (MG/L AS N)      	26    	1072  	1990-08-14	1994-08-22	  1.00E-01  	  9.99E-02  	  1.83E-01
00608	NH3+NH4- N DISS   MG/L    	NITROGEN, AMMONIA, DISSOLVED (MG/L AS N)          	26    	1070  	1990-08-14	1994-08-22	  1.00E-02  	  9.90E-03  	  1.44E-02
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	38    	767   	1979-07-09	1997-10-21	   .00E+00  	  9.00E-02  	  6.68E-02
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	38    	1494  	1979-07-09	1997-10-21	   .00E+00  	  1.00E-03  	  1.96E-03
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	38    	1494  	1979-07-09	1997-10-21	   .00E+00  	  9.98E-04  	  2.38E-03
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	48    	1015  	1973-02-05	1997-10-21	   .00E+00  	  9.40E-01  	  1.90E-01
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	48    	1013  	1973-02-05	1997-10-21	   .00E+00  	  9.50E-01  	  8.09E-02
00631	NO2&NO3  N-DISS   MG/L    	NITRITE PLUS NITRATE, DISS. 1 DET. (MG/L AS N)    	26    	1071  	1990-08-14	1994-08-22	  1.00E-02  	  9.99E-02  	  8.41E-02
00650	T PO4    PO4      MG/L    	PHOSPHATE, TOTAL (MG/L AS PO4)                    	7     	211   	1994-10-18	1995-11-16	  1.00E+00  	  1.00E+00  	  1.00E+00
00651	PHOS D   OP WTM G F/F MG/L	PHOSPHOROUS DISS ORTHOPHOSPHATE WTM GF/F MG/L     	26    	1072  	1990-08-14	1994-08-22	  1.00E-02  	  9.92E-03  	  6.84E-03
