
Kauai, HI
Number of Stations = 95


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	44    	1999  	1973-01-30	1997-10-20	  1.32E+01  	  3.55E+01  	  2.49E+01
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	13    	36    	1976-10-18	1980-05-22	  1.00E+00  	  8.00E-01  	  1.92E+00
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	11    	320   	1979-01-08	1997-10-20	   .00E+00  	  9.00E+00  	  3.26E+00
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	28    	38    	1994-07-11	1997-03-10	  1.05E+00  	  5.35E+01  	  4.63E+01
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	41    	1797  	1973-01-30	1997-10-20	  1.50E+00  	  9.40E+00  	  6.39E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	41    	1786  	1973-01-30	1997-10-20	  1.00E+02  	  9.91E+01  	  7.66E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	37    	1552  	1973-01-30	1997-10-20	  6.20E+00  	  8.60E+00  	  7.97E+00
00480	SALINITY  PPTH            	SALINITY - PARTS PER THOUSAND                     	45    	3276  	1973-01-30	1998-12-15	   .00E+00  	  9.90E+00  	  2.99E+01
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	16    	860   	1978-01-09	1997-10-20	  1.00E+01  	  9.90E+01  	  2.97E+01
00600	TOTAL N  N        MG/L    	NITROGEN, TOTAL (MG/L AS N)                       	34    	1014  	1973-01-30	1997-10-20	   .00E+00  	  9.00E-02  	  1.51E-01
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	16    	842   	1979-07-09	1997-10-20	   .00E+00  	  9.00E-02  	  5.99E-02
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	10    	644   	1979-07-09	1997-10-20	   .00E+00  	  9.84E-04  	  4.03E-03
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	10    	644   	1979-07-09	1997-10-20	   .00E+00  	  9.90E-03  	  4.90E-03
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	34    	1034  	1973-01-30	1997-10-20	   .00E+00  	  9.00E-02  	  1.36E-01
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	32    	1014  	1973-01-30	1997-10-20	   .00E+00  	  9.40E-02  	  3.34E-02
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	34    	1036  	1973-01-30	1997-10-20	  1.00E-01  	  9.40E-02  	  2.00E-02
00680	T ORG C  C        MG/L    	CARBON, TOTAL ORGANIC (MG/L AS C)                 	3     	15    	1980-02-11	1982-03-08	  1.00E+00  	  9.00E-01  	  1.77E+00
00681	D ORG C  C        MG/L    	CARBON, DISSOLVED ORGANIC (MG/L AS C)             	1     	2     	1980-04-14	1980-05-12	  2.20E+00  	  2.50E+00  	  2.35E+00
01002	ARSENIC  AS,TOT   UG/L    	ARSENIC, TOTAL (UG/L AS AS)                       	4     	16    	1976-10-18	1976-10-19	  1.00E-03  	  1.00E-03  	  1.00E-03
01003	ARSENIC  SEDMG/KG DRY WGT 	ARSENIC IN BOTTOM DEPOSITS (MG/KG AS AS DRY WGT)  	23    	54    	1976-10-16	1983-02-09	  1.06E+01  	  8.00E+00  	  1.41E+01
01027	CADMIUM  CD,TOT   UG/L    	CADMIUM, TOTAL (UG/L AS CD)                       	4     	16    	1976-10-18	1976-10-19	  1.00E-03  	  1.00E-03  	  1.00E-03
01028	CD MUD   DRY WGT  MG/KG-CD	CADMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT)  	21    	51    	1976-10-16	1983-02-09	  1.00E+01  	  8.60E+00  	  1.60E+01
