
Hawaii, HI
Number of Stations = 517


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	129   	2234  	1973-03-05	1997-10-20	  1.10E+01  	  3.50E+01  	  2.50E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	1     	1     	1980-09-08	1980-09-08	  1.98E+03  	  1.98E+03  	  1.98E+03
00029	FIELD    IDENT    NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	2     	1984-08-01	1984-08-01	  5.01E+02  	  5.02E+02  	  5.02E+02
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	32    	155   	1974-02-01	1983-11-14	  1.00E+00  	  9.30E-01  	  1.09E+00
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	14    	197   	1978-09-11	1997-07-21	   .00E+00  	  9.00E+00  	  6.82E+00
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	10    	29    	1974-02-01	1975-08-01	  1.00E+04  	  9.90E+03  	  3.93E+03
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	37    	196   	1994-03-03	1996-10-18	  1.06E+00  	  9.82E+00  	  6.55E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	49    	1901  	1973-03-05	1997-10-20	  1.00E+01  	  9.80E+00  	  7.17E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	86    	2019  	1973-03-05	1997-10-20	  1.00E+02  	  9.99E+01  	  8.42E+01
00340	COD      HI LEVEL MG/L    	COD, .25N K2CR2O7                             MG/L	9     	31    	1974-02-01	1975-08-01	   .00E+00  	  9.75E+01  	  5.50E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	49    	1691  	1973-03-05	1997-10-20	  6.40E+00  	  9.40E+00  	  7.96E+00
00406	PH       FIELD    SU      	PH, FIELD, STANDARD UNITS                       SU	41    	231   	1992-06-16	1996-10-18	  1.03E+01  	  9.30E+00  	  7.87E+00
00480	SALINITY  PPTH            	SALINITY - PARTS PER THOUSAND                     	440   	5869  	1972-06-01	1998-12-27	   .00E+00  	  9.90E+00  	  2.52E+01
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	10    	20    	1974-02-01	1975-05-01	  1.22E+03  	  9.46E+02  	  4.23E+03
00505	RESIDUE  TOT VOL  MG/L    	RESIDUE, TOTAL VOLATILE (MG/L)                    	9     	13    	1974-02-01	1975-03-01	  1.14E+03  	  9.70E+02  	  7.03E+02
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	62    	1131  	1974-02-01	1997-10-20	   .00E+00  	  9.73E+02  	  3.13E+01
00535	RESIDUE  VOL NFLT MG/L    	RESIDUE, VOLATILE NONFILTRABLE (MG/L)             	9     	11    	1974-02-01	1975-03-01	   .00E+00  	  8.20E+00  	  3.07E+00
00600	TOTAL N  N        MG/L    	NITROGEN, TOTAL (MG/L AS N)                       	117   	1545  	1973-03-05	1997-10-20	  1.00E+00  	  9.98E-02  	  3.26E-01
00601	N-TOTAL  NON-FILT MG/L-N  	NITROGEN TOTAL  NON-FILTERABLE   (MG/L AS N)      	27    	855   	1990-02-20	1994-08-29	  1.00E-01  	  9.90E-02  	  2.06E-01
00607	ORG N    DISS-N   MG/L    	NITROGEN, ORGANIC, DISSOLVED (MG/L AS N)          	37    	199   	1994-03-03	1996-10-18	  1.01E-01  	  9.95E-02  	  1.24E-01
00608	NH3+NH4- N DISS   MG/L    	NITROGEN, AMMONIA, DISSOLVED (MG/L AS N)          	26    	855   	1990-02-20	1994-08-29	  1.00E-03  	  9.90E-03  	  7.69E-03
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	64    	1103  	1974-02-01	1997-10-20	   .00E+00  	  9.90E-02  	  8.92E-02
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	41    	1485  	1979-07-09	1997-10-20	   .00E+00  	  1.00E-03  	  2.63E-03
00618	NO3-N    DISS     MG/L    	NITRATE NITROGEN, DISSOLVED (MG/L AS N)           	23    	45    	1986-04-01	1989-06-01	  1.03E+00  	  9.60E-01  	  8.76E-01
