year,rgn_id,percent,habitat
2011,1,13.12,marine
2012,1,13.12,marine
2013,1,13.12,marine
2014,1,13.12,marine
2015,1,13.12,marine
2011,2,13.12,marine
2012,2,13.12,marine
2013,2,13.12,marine
2014,2,13.12,marine
2015,2,13.12,marine
2011,3,13.12,marine
2012,3,13.12,marine
2013,3,13.12,marine
2014,3,13.12,marine
2015,3,13.12,marine
2011,4,13.12,marine
2012,4,13.12,marine
2013,4,13.12,marine
2014,4,13.12,marine
2015,4,13.12,marine
2011,1,12,watershed
2012,1,12,watershed
2013,1,12,watershed
2014,1,12,watershed
2015,1,12,watershed
2011,2,36,watershed
2012,2,36,watershed
2013,2,36,watershed
2014,2,36,watershed
2015,2,36,watershed
2011,3,7.5865061,watershed
2012,3,7.5865061,watershed
2013,3,7.5865061,watershed
2014,3,7.5865061,watershed
2015,3,7.5865061,watershed
2011,4,7.2791651,watershed
2012,4,7.2791651,watershed
2013,4,7.2791651,watershed
2014,4,7.2791651,watershed
2015,4,7.2791651,watershed
