year,value,rgn_id
2000,"876,629",3
2001,"882,755",3
2002,"890,473",3
2003,"894,311",3
2004,"907,997",3
2005,"918,181",3
2006,"926,954",3
2007,"925,335",3
2008,"933,680",3
2009,"943,177",3
2010,"956,377",3
2011,"966,581",3
2012,"976,711",3
2013,"986,802",3
2014,"992,082",3
2015,"998,714",3
2000,"149,244",1
2001,"151,690",1
2002,"154,576",1
2003,"158,442",1
2004,"162,852",1
2005,"168,237",1
2006,"173,536",1
2007,"177,733",1
2008,"181,506",1
2009,"183,629",1
2010,"185,326",1
2011,"186,961",1
2012,"188,780",1
2013,"191,224",1
2014,"194,016",1
2015,"196,428",1
2000,"58,568",4
2001,"59,075",4
2002,"59,981",4
2003,"60,805",4
2004,"62,095",4
2005,"62,863",4
2006,"63,465",4
2007,"64,490",4
2008,"65,603",4
2009,"66,518",4
2010,"67,209",4
2011,"67,794",4
2012,"68,551",4
2013,"69,703",4
2014,"70,672",4
2015,"71,735",4
2000,"129,078",2
2001,"132,428",2
2002,"134,583",2
2003,"137,596",2
2004,"140,625",2
2005,"143,448",2
2006,"145,776",2
2007,"148,117",2
2008,"151,424",2
2009,"153,393",2
2010,"155,068",2
2011,"156,891",2
2012,"158,599",2
2013,"161,036",2
2014,"163,487",2
2015,"164,726",2
