Year,personal_expenditures_millions,additional_business_expenditures
,,
1961,137,(NA)          
1962,154,(NA)          
1963,186,(NA)          
1964,205,(NA)          
1965,225,(NA)          
1966,280,(NA)          
1967,380,(NA)          
1968,440,(NA)          
1969,550,(NA)          
1970,595,(NA)          
1971,705,(NA)          
1972,836,(NA)          
1973,"1,017",(NA)          
1974,"1,233",(NA)          
1975,"1,355",(NA)          
1976,"1,637",(NA)          
1977,"1,834",(NA)          
1978,"2,150",(NA)          
1979,"2,541",(NA)          
1980,"2,871",(NA)          
1981,"3,195",(NA)          
1982,"3,687",(NA)          
1983,"3,847",(NA)          
1984,"4,442",(NA)          
1985,"4,780",92
1986,"5,567",103
1987,"6,281",120
1988,"7,813",125
1989,"8,371",113
1990,"8,707",119
1991,"9,004",138
1992,"8,614",141
1993,"7,808",120
1994,"9,544",133
1995,"10,067",141
1996,"9,569",140
1997,"10,102",147
1998,"9,910",149
1999,"9,844",161
2000,"10,396",194
2001,"8,916",145
2002,"9,465",144
2003,"9,889",165
2004,"10,702",160
2005,"11,696",208
2006,"12,301",191
2007,"12,626",185
2008,"11,220",178
2009,"9,819",174
2010,"10,889",177
2011,"12,048",110
2012,"14,250",115
2013,"14,413",108
2014,"14,851",122
2015,"14,977",134
