rgn_id,rate,activity,year,Note
1,0.92,any ocean activity,2016,this is percent of residents that participate in this activity at least once per year
2,0.92,any ocean activity,2016,this is percent of residents that participate in this activity at least once per year
3,0.9,any ocean activity,2016,this is percent of residents that participate in this activity at least once per year
4,0.93,any ocean activity,2016,this is percent of residents that participate in this activity at least once per year
1,0.81,beach recreation,2016,this is percent of residents that participate in this activity at least once per year
2,0.8,beach recreation,2016,this is percent of residents that participate in this activity at least once per year
3,0.76,beach recreation,2016,this is percent of residents that participate in this activity at least once per year
4,0.87,beach recreation,2016,this is percent of residents that participate in this activity at least once per year
1,0.33,boating,2016,this is percent of residents that participate in this activity at least once per year
2,0.39,boating,2016,this is percent of residents that participate in this activity at least once per year
3,0.27,boating,2016,this is percent of residents that participate in this activity at least once per year
4,0.39,boating,2016,this is percent of residents that participate in this activity at least once per year
1,0.54,camping,2016,this is percent of residents that participate in this activity at least once per year
2,0.51,camping,2016,this is percent of residents that participate in this activity at least once per year
3,0.46,camping,2016,this is percent of residents that participate in this activity at least once per year
4,0.6,camping,2016,this is percent of residents that participate in this activity at least once per year
1,0.31,canoe or kayaking,2016,this is percent of residents that participate in this activity at least once per year
2,0.35,canoe or kayaking,2016,this is percent of residents that participate in this activity at least once per year
3,0.27,canoe or kayaking,2016,this is percent of residents that participate in this activity at least once per year
4,0.43,canoe or kayaking,2016,this is percent of residents that participate in this activity at least once per year
1,0.34,diving(scuba or free diving),2016,this is percent of residents that participate in this activity at least once per year
2,0.37,diving(scuba or free diving),2016,this is percent of residents that participate in this activity at least once per year
3,0.25,diving(scuba or free diving),2016,this is percent of residents that participate in this activity at least once per year
4,0.38,diving(scuba or free diving),2016,this is percent of residents that participate in this activity at least once per year
1,0.61,snorkeling,2016,this is percent of residents that participate in this activity at least once per year
2,0.6,snorkeling,2016,this is percent of residents that participate in this activity at least once per year
3,0.47,snorkeling,2016,this is percent of residents that participate in this activity at least once per year
4,0.6,snorkeling,2016,this is percent of residents that participate in this activity at least once per year
1,0.83,swimming/wading,2016,this is percent of residents that participate in this activity at least once per year
2,0.82,swimming/wading,2016,this is percent of residents that participate in this activity at least once per year
3,0.78,swimming/wading,2016,this is percent of residents that participate in this activity at least once per year
4,0.86,swimming/wading,2016,this is percent of residents that participate in this activity at least once per year
1,0.37,wave riding,2016,this is percent of residents that participate in this activity at least once per year
2,0.47,wave riding,2016,this is percent of residents that participate in this activity at least once per year
3,0.41,wave riding,2016,this is percent of residents that participate in this activity at least once per year
4,0.49,wave riding,2016,this is percent of residents that participate in this activity at least once per year
