rgn_id,habitat,trend,reference
1,wetlands,-0.051483386,NOAA CCAP 2010-1992 extent (% difference in extent/total years (=18) to get % change per year
2,wetlands,0.004619981,NOAA CCAP 2010-1992 extent (% difference in extent/total years (=18) to get % change per year
3,wetlands,-0.018134914,NOAA CCAP 2010-1992 extent (% difference in extent/total years (=18) to get % change per year
4,wetlands,-0.00465619,NOAA CCAP 2010-1992 extent (% difference in extent/total years (=18) to get % change per year
1,beach,-0.00006,Romine short term loss (km per year)
2,beach,-0.00015,Romine short term loss (km per year)
3,beach,-0.00005,Romine short term loss (km per year)
4,beach,0.00002,Romine short term loss (km per year)
1,reef,-0.05,CREP 2016 report (trend calculated as % coral cover from 2011 to 2016~values are estimates and need to be updated)
2,reef,-0.05,CREP 2016 report (trend calculated as % coral cover from 2011 to 2016~values are estimates and need to be updated)
3,reef,-0.05,CREP 2016 report (trend calculated as % coral cover from 2011 to 2016~values are estimates and need to be updated)
4,reef,-0.05,CREP 2016 report (trend calculated as % coral cover from 2011 to 2016~values are estimates and need to be updated)
