layer,category,category_type,subcategory,weight
g_cites,ecological,regulatory,goal,0.5
fp_mora,ecological,regulatory,fishing_pressure,1
tourism_experience,social,social,social,1
wgi_all,social,social,social,1
res_spi,social,social,social,1
watershed_partnerships,ecological,regulatory,habitat_destruction,1
li_economic_index,social,social,social,1
sp_OHA_culture,social,social,social,1
fp_MPA_3nm,ecological,regulatory,fishing_pressure,1
hd_MPA_3nm,ecological,regulatory,habitat_destruction,1
fp_MPA_eez,ecological,regulatory,fishing_pressure,1
hd_MPA_eez,ecological,regulatory,habitat_destruction,1
res_hab_health,ecological,ecosystem,ecological,1
hd_watersheds,ecological,regulatory,habitat_destruction,1
res_shoreline_access,ecological,regulatory,fishing_pressure,1
res_shoreline_access_points,ecological,social,social,1
res_adoption_CCA,ecological,regulatory,goal,1
res_wastewater_recycled,ecological,regulatory,ecological,1
res_makai_watch,ecological,regulatory,fishing_pressure,1
res_commercial_fis_compliance,ecological,regulatory,fishing_pressure,1
res_fishpond_restoration,ecological,regulatory,goal,1
