order_color,order_hierarchy,order_calculate,goal,parent,name,name_flower,description,weight,preindex_function,postindex_function
1.2,1,16,FP,,Food Provision,Food Provision,"This goal measures the amount of seafood sustainably harvested in a given region through any means for use primarily in human consumption and thus includes wild-caught commercial fisheries, mariculture, artisanal-scale and recreational fisheries.",1,,"FP(layers, scores)"
1.1,1.1,1,FIS,FP,Fisheries,Fisheries,"This subgoal model aims to assess the amount of wild-caught seafood that can be sustainably harvested, with sustainability defined by multi-species yield, and with penalties assigned for both over- and under-harvesting.",0.5,FIS(layers),
1.3,1.2,2,MAR,FP,Mariculture,Mariculture,This subgoal measures the ability to obtain maximal seafood yield from farm-raised facilities without damaging the ocean's ability to continue providing fish for people in the future.,0.5,MAR(layers),
2,2,3,AO,,Artisanal Fishing Opportunity,           Artisanal Fishing Opportunities,"This goal captures the access people have to coastal resources, whether or not they actually take fish or harvest from coastal waters.",1,AO(layers),
3,3,4,NP,,Natural Products,Natural Products,This goal model calculates overall status by weighting the status of sustainable harvest of each product by its proportional value relative to other harvested products.,1,"NP(scores, layers)",
4,4,5,CS,,Carbon Storage,Carbon Storage,This goal captures the carbon stored in natural coastal ecosystems that absorb and sequester carbon in large amounts.,1,CS(layers),
5,5,6,CP,,Coastal Protection,Coastal\nProtection,This goal measures the amount of protection certain coastal habitats provide by measuring the current area they cover relative to the area they covered in the recent past.,1,CP(layers),
6,6,7,TR,,Tourism & Recreation,Tourism,This goal tracks sustainable tourism through maintaining the balance between economic growth through tourism with management and preservation of natural resources and Hawaiian culture.,1,TR(layers),
7,7,8,RC,,Recreation Opportunities,Recreation,This goal captures the opportunity for people to experience and taking pleasure in coastal areas.,1,RC(layers),
8.2,8,17,LE,,Coastal Livelihoods & Economies,Coastal Livelihoods & Economies,This goal aims to maintain coastal and ocean-dependent livelihoods and productive coastal economies while also maximizing livelihood quality.,1,,"LE(scores, layers)"
8.1,8.1,9,LIV,LE,Livelihoods,Livelihoods,This subgoal evaluates the benefits people obtain from the oceans in the form of jobs and wages.,0.5,"LIV_ECO(layers, subgoal='LIV')",
8.3,8.2,10,ECO,LE,Economies,Economies,This subgoal captures the economic value associated with marine industries.,0.5,"LIV_ECO(layers, subgoal='ECO')",
9.2,9,18,SP,,Sense of Place,Sense of Place,This goal aims to capture the level of protection for aspects of the coastal and marine system that contribute to a person's sense of cultural identity.,1,,SP(scores)
9.1,9.9,11,ICO,SP,Iconic Species,Iconic\nSpecies,This subgoal captures the species that are important to a region because they are relevant to local cultural identity.,0.5,ICO(layers),
9.3,9.2,12,LSP,SP,Lasting Special Places,Lasting Special\nPlaces,"This subgoal captures the conservation status of geographic locations that hold significant aesthetic, spiritual, cultural, recreational, or existence value for people.",0.5,LSP(layers),
10,10,13,CW,,Clean Waters,Clean Waters,This goal captures the degree to which waters are polluted.,1,CW(layers),
11.2,11,19,BD,,Biodiversity,Biodiversity,This goal captures the conservation status of marine species.,1,,BD(scores)
11.1,11.1,14,HAB,BD,Habitats,Habitats,This subgoal measures the condition of habitats that are important for supporting a wide array of species diversity.,0.5,HAB(layers),
11.3,11.2,15,SPP,BD,Species,Species,This subgoal aims to estimate how successfully the richness and variety of marine life is being maintained.,0.5,SPP(layers),
