layer,category,subcategory
po_chemicals,ecological,pollution
po_chemicals_3nm,ecological,pollution
po_pathogens,ecological,pollution
po_nutrients,ecological,pollution
po_nutrients_3nm,ecological,pollution
po_trash,ecological,pollution
hd_subtidal_sb,ecological,habitat_destruction
hd_subtidal_hb,ecological,habitat_destruction
hd_intertidal,ecological,habitat_destruction
fp_com_hb,ecological,fishing_pressure
fp_com_lb,ecological,fishing_pressure
fp_art_lb,ecological,fishing_pressure
fp_art_hb,ecological,fishing_pressure
cc_sst,ecological,climate_change
cc_acid,ecological,climate_change
cc_uv,ecological,climate_change
ss_wgi,social,social
ss_spi,social,social
cc_warm,ecological,climate_change
cc_slr_nearshore,ecological,climate_change
fp_fish_aquarium,ecological,fishing_pressure
fp_reeffish_t,ecological,fishing_pressure
sp_aquacul_terrest,ecological,alien_species
hd_benstr,ecological,habitat_destruction
hd_coasteng,ecological,habitat_destruction
hd_dredging,ecological,habitat_destruction
sp_ispp_a_m,ecological,alien_species
po_lbsp_nosds_bil,ecological,pollution
po_lbsp_sed,ecological,pollution
po_lbspaggolfrunoff,ecological,pollution
po_marinedebris,ecological,pollution
hd_shipbased_ground,ecological,habitat_destruction
po_shipbased_shipp,ecological,pollution
hd_tourrec_direct_h,ecological,habitat_destruction
